単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
【a】,,,,,
a,冠,一つの、一人の,a book / a girl,,
able,"形
","できる、能力がある
　be able to ～　～することができる、～する能力がある","be able to speak English 
",,●
about,"副
前","約、およそ、～ぐらい
～について(の)、～に関して　","about 40 students
talk about music",,●
above,前,～の上に〔の〕　,above your head,,
abroad,副,外国に〔へ・で〕、海外に〔へ・で〕,study abroad,,
accept,動,～を受け入れる、～を受け取る、～を承諾する,accept a present,,
according to ,,～によれば,according to his report,,
across,"副
前","横切って
①～の向こう側へ　②～のいたるところに","swim across to the other side of the river
①walk across the street　②all across the nation",,●
act,動,①行動する　②(役を)演じる,①act quickly　②act the role,,●
action,名,行動、行為,a plan of action,,
active,形,活発な、行動〔活動〕的な,an active life,,
activity,名,活動,a club activity,,
actor,名,俳優、男優,a kabuki actor,,
actually,副,本当に、実際には,She didn't actually say that.,,
add,動,～を加える、～を足す,add some water,,
address,名,住所,my address,,
adult,名,大人、成人,become an adult,,
advice,名,忠告、アドバイス,give advice to her,,
affect,動,～に影響する,Daily practice affects my grade.,●,
afraid,"形


","恐れている、こわい
　be afraid of ～　～を恐れる
　I'm afraid (that) ～.　残念ですが～ではないかと思います。","Some people are afraid of dark places. 


",,●
Africa,名,アフリカ,go to Africa,,
after,"前
接

","①～のあとに〔で〕　②～にならって、ちなんで　
～したあとで　
　after all　結局、とうとう
　after school　放課後","①after dinner　②He was named after his uncle.
after I eat dinner

",,●
afternoon,名,午後,in the afternoon,,
again,副,もう一度,see him again,,
against,前,～に反対して、～に反して、～に対して,against his advice,,
age,"名
動","①年齢　②時代
熟成する","①different ages　②in all ages
Tea leaves age in room temperature.",,●
ago,副,(今から)～前に,five years ago,,
agree,"動
","賛成する、同意する
　agree with ～　～に賛成する","agree with you
",,●
AI,名,人工知能　(artificial intelligence の略),study AI in college,●,
air,名,①空気、大気　②空中、空,①fresh air　②in the air,,●
air conditioner,名,エアコン、空気調整装置,turn off the air conditioner,●,
airport,名,空港,arrive at the airport,,
album,名,アルバム,make a photo album,●,
all,"形
副
代","すべての
すべて、すっかり
すべての人〔もの・こと〕","all my money
all through the night 
all of the students",,
almost,副,ほとんど、ほぼ、もう少しで,almost all of them,,
alone,副,一人で、単独で,go home alone,,
along,前,～に沿って,walk along the street,,
aloud,副,声を出して,read it aloud,●,
already,副,すでに、もう,have already cleaned the room,,
also,"副
接","～もまた、そのうえ　
そのうえ、さらに","Tom and also Jim
Also, there are other things to do.",,●
always,副,いつも、常に,She always drinks tea in the morning.,,
am,動,(beの一人称・単数・現在形)①～です、～だ　②(～に)いる、ある　,"""Are you happy?"" ""Yes, I am.""",,●
a.m.,副,午前,at 9 a.m.,,
amazing,形,びっくりするような、驚くべき,have an amazing experience,,
America,名,アメリカ(合衆国),go to America,,
American,"名
形","アメリカ人
アメリカ人の、アメリカ合衆国の","She is an American.
American people",,●
among,前,(３人・三つ以上)の間に〔で〕,among the trees,,
amount,"名
","量、額　 
　…amount of ～　…の量の～","a small amount of food
",●,
amusement park,名,遊園地,I enjoyed myself at the amusement park.,●,
an,冠,一つの、一人の　(母音で始まる単語の前で用いる),an egg / an active boy,,
ancient,形,古代の,an ancient city,●,
and,接,①～と...、および、そして　②そうすれば,"①study Japanese and English　②Study hard, and you'll pass the test.",,●
angry,形,怒った、腹を立てた,I am angry with him.,,
animal,名,動物,small animals,,
anime,名,アニメ,a big fan of Japanese anime,●,
announcement,名,アナウンス、発表,the announcement of the plan,●,
another,"形
代","もう一つの、別の
もう一つの物、もう一人の人、別の物〔人〕","have another chance
Show me another.",,●
answer,"名
動","答え、返事、応答
(～に)答える、(～に)返事をする、(～に)応答する","give him an answer
Please answer the question.",,
ant,名,アリ,a big ant,●,
any,"形

代","(疑問文などで)いくらかの、何らかの　
(否定文などで)少しの～も(～ない)
どれも(～ない)　","Any ideas? 
don't have any pens 
I want to buy some flowers.  I don't have any in my garden.",,●
anymore,副,(疑問文・否定文で)もはや、これ以上,Don't cry anymore.,●,
anyone,代,"(肯定文で)だれでも　
(疑問文・条件文で)だれか　
(否定文で)だれも～ない","Anyone can join the concert.
Is anyone going to answer?
I didn't see anyone.",,●
anything,代,"(疑問文・条件文で)何か　
(否定文で)何も(～ない)　
(肯定文で)何でも","If you have anything to add, tell me later.
I didn't say anything.
Anything is OK.",,●
anyway,副,(通例文末で)それにもかかわらず、それでもやはり,I'm going anyway.,●,
anywhere,副,"(疑問文で)どこかへ〔で〕　
(否定文で)どこにも(～ない)　
(肯定文で)どこに〔へ〕でも　","Did you go anywhere yesterday?
I'm not going anywhere today.
You can go anywhere.",,●
appear,動,現れる、姿を現す,appear on the stage,,
apple,名,リンゴ,seven apples,,
application,"名
","アプリケーション
  app  アプリ","two music applications
",●,
apply,動,当てはまる,The rules apply to everyone.,●,
April,名,４月,in April,,
apron,名,エプロン,my new apron,●,
aquarium,名,水族館,fish in the aquarium,●,
are,動,(beの二人称・単数(複数)・現在形、及びそれ以外の人称の複数現在形)①～です、～だ　②(～に)いる、ある,We are happy.,,●
area,名,地域、区域、面積,in this area,,
arm,名,腕,my left arm,,
around,"副
前
","あちこち、めぐって
～のあちこちに〔で・を〕、～のまわりに、～の周囲に、～の近くに、～のまわりを回って　","show a person around 
sit around a table
",,●
arrive,動,到着する、着く,arrive at the station,,
art,名,美術、芸術,a museum of art,,
artist,名,芸術家,a famous artist,,
as,"副
前
接

","同じくらい
～として、～の時に、～のような　
～のとき、～するにつれて、～と同じくらい…　
　as ～ as …　…と同じくらい～
　such as ～　～のような","as heavy as the water bottle
as a child
as he grew older

",,●
Asia,名,アジア(大陸),in Asia,,
Asian,形,アジア(人)の,Asian countries,●,
ask,動,①(…に)～をたずねる　②(…に)～するように頼む,①ask his name　②ask him to help me,,
astronaut,名,宇宙飛行士,want to be an astronaut,,
at,前,①(場所・位置)～に〔で〕、～のところに　②(時刻)～に,①meet them at the station　②at nine o'clock,,
athlete,名,運動選手、アスリート,my favorite athlete,●,
atomic,形,原子の、原子力の,atomic bomb,●,
attention,名,注意、関心,pay attention to ～,,
attract,動,～を引き付ける、～を魅了する,His smile attracts people.,●,
attractive,形,魅力的な、人を引き付ける,His smile is attractive.,●,
audience,名,聴衆、観客,in front of the audience,●,
August,名,８月,in August,,
aunt,名,おば,see my aunt,,
Australia,名,オーストラリア(大陸),go to Australia,,
autumn,名,秋,in autumn,,
award,名,賞、賞品,win an award,●,
away,副,あちらへ、離れて,go away from here,,
,,,,,
【b】,,,,,
baby,名,赤ちゃん,a cute baby,,
back,"名
副","背中　
戻って、帰って　","my back
go back to school",,
backpack,名,バックパック、リュックサック,the heavy backpack,●,
bad,形,悪い　《活用》worse-worst,a bad idea,,
badminton,名,バドミントン,win a badminton match,●,
bag,名,かばん,a black bag,,
bake,動,(パン・ケーキなど)を焼く,bake cookies,●,
